source_maf,rows_total,snv_rows_kept
d10addf6-d7d0-479a-98c4-0f832fd8f3ab.maf.gz,65,62
d1957b91-5a12-45d4-b9d4-b42384255d7e.maf.gz,76,73
d1c7b272-3f64-42d1-9bab-02d590a8796b.maf.gz,87,83
d21805b6-f571-42e2-ada1-4bbb8d85a143.maf.gz,39,38
d2eece18-dbed-49d3-b855-f7201e716e2f.maf.gz,57,49
d336cd05-a1a9-4d61-af68-a8ac23bb63a9.maf.gz,70,67
d387d308-e492-48d4-b5cc-090713697338.maf.gz,713,655
d3b13f3b-c426-4c7b-874d-5f1508e9ddd9.maf.gz,91,86
d57980e1-b5f5-4dcc-80f8-dcf44e4a8662.maf.gz,92,92
d643a472-6934-4272-9bd0-6bd0c3160477.maf.gz,61,60
d6d7c809-48fa-45a0-970b-eae2a4d91d5c.maf.gz,69,66
d75c53b6-1182-4c14-ac35-218c79eb71b2.maf.gz,34,30
d768978e-7ff1-4324-89ef-f39018a3cfae.maf.gz,55,53
d7b171dc-eafe-43da-8df6-a909cfd362b2.maf.gz,56,54
d82fdd83-9bbf-4624-80d9-2776b3c46432.maf.gz,93,91
d8510831-55df-4406-864f-7c9b5281fea8.maf.gz,58,57
d85839ef-a9ff-48f1-b5db-6df4bdff9aa0.maf.gz,77,73
d94721a7-f052-4faa-9011-df22db6e9996.maf.gz,92,69
d9530104-a89a-48ea-8e46-7d3b8fe40a12.maf.gz,45,44
da144c59-a31d-454f-9285-4f0cf3ed9ab6.maf.gz,68,64
dab48baf-bd1f-46e6-9cce-c11f986fd629.maf.gz,66,64
db06dd9b-c160-4fb4-8640-e4d2f57f39c2.maf.gz,38,36
db1fbb5b-b437-40de-b0a8-acfe3e05ea84.maf.gz,89,86
db364504-f4c0-43d5-bd7f-059bdfb9fe95.maf.gz,81,77
dc8ee3a4-493b-482b-84a1-7ca4d592a4c7.maf.gz,52,52
dc8ff953-cc9f-4971-adcd-4836e8d492bc.maf.gz,64,62
dcbb3ad7-7f0f-4b89-bbbf-b7ab6ae0243a.maf.gz,52,48
dd603750-0393-4824-a240-8ed0747a72ef.maf.gz,34,30
de358404-0967-4b3c-a13f-4e7ce52395c9.maf.gz,45,42
de70eeab-850f-4cce-8695-9159b3cb29ca.maf.gz,61,52
dfb8bb92-e443-4e2b-b8ee-3d3de0c2e019.maf.gz,61,54
e11848f3-ddcd-49df-a69e-2d0f65afb805.maf.gz,62,60
e1990526-90a1-446a-adc8-c0f49db04bd7.maf.gz,57,55
e26969fe-c820-43c4-8059-9127218fcce0.maf.gz,165,153
e3ab8a16-2459-4e96-9053-943ed49bc494.maf.gz,55,54
e4073a90-f543-4905-a94a-1186af54ab91.maf.gz,117,106
e42ccfda-6013-4890-ad94-5c838fb8d211.maf.gz,41,38
e4b23974-99df-4788-bdc3-947dab6b1e19.maf.gz,55,50
e4ff48bd-6763-4932-bd57-61c9f885765a.maf.gz,77,76
e59d3c7c-5d95-4cd1-96c5-071f5cbb3c30.maf.gz,53,49
e5d8e2ad-ee3d-4a33-95ce-a6facf515968.maf.gz,36,36
e70abc35-c771-4c74-b5b2-c4cbd54928ef.maf.gz,53,53
e78edf3e-3748-4417-8c9e-2c8d7764a38d.maf.gz,52,49
e7c6957d-567c-41e0-a3a2-7d852eabad76.maf.gz,97,90
e8820161-b06d-4cdc-8622-c3a7fcab6449.maf.gz,51,51
e8b1e3e0-25ce-4403-a7db-dff72f6a0edb.maf.gz,113,88
ea9a935d-5d90-4ff9-ac1c-eec243a4aafa.maf.gz,34,32
eb0a970c-3704-4a31-966c-f9a086ab1351.maf.gz,48,45
eb746c48-50c7-47cf-a977-fb09ecb95dd1.maf.gz,46,44
eb84d4d0-423a-4d66-a5c8-41b287f623f8.maf.gz,50,43
ecb7a505-fa82-41a8-ad31-2b30537152db.maf.gz,77,77
ecda772b-48b7-49d8-92c1-6248a72f9454.maf.gz,27,27
ede4ff1e-dca1-4683-bd65-dcfe3cc5ef77.maf.gz,18,17
ee83bb3f-daf1-4a97-8e85-3987848ed0a1.maf.gz,46,45
eec60af6-0783-4ad2-99f4-8cbc0489871e.maf.gz,33,31
ef04461d-ec6b-45f4-af97-311f5a0f782e.maf.gz,25,22
ef4c96cc-d305-4629-b0da-61aac5772c0b.maf.gz,45,43
f05dd6d7-ba10-407e-81dd-59ab5f36346a.maf.gz,68,66
f14d1676-cfce-4c9f-ac3d-c2f9ee305777.maf.gz,16,16
f201f479-0995-4a24-9fa3-c771d3ff57b6.maf.gz,36,33
f2c2e294-b401-44dc-8e4a-cb5294320a02.maf.gz,68,64
f2d1c09e-d1f2-4b33-818e-834176663a19.maf.gz,80,62
f40cccd7-de14-4295-86b7-aa8a318b0bbd.maf.gz,41,37
f4840a9e-4c0d-4aff-9d39-7e646868ef4f.maf.gz,65,62
f4bdefab-e3fd-4b5d-be2e-051c4f648673.maf.gz,52,50
f53f587f-42f0-4d8b-8a4e-05247ca98f43.maf.gz,54,50
f5ea864b-48c9-48f1-b05b-076377bc0b48.maf.gz,85,80
f5f3be64-9d6f-46f4-8bcc-fbf79828d223.maf.gz,41,40
f6fc7704-fe43-4d46-ab9e-7d80c5ecad67.maf.gz,27,26
f760d0c4-e490-4c96-aa4f-9b217b2646c8.maf.gz,35,30
f77ec1a9-fce2-45c4-99d1-2229e945b414.maf.gz,69,66
f79f3ad9-df99-4a9f-b928-6e0243c9b8b9.maf.gz,46,46
f8d68fb9-a686-4af0-8d70-2087458e4596.maf.gz,50,49
fa27a283-77da-4e5b-9d9a-91c53144172c.maf.gz,56,53
fa361fc3-4377-4193-aad0-3690d3e6d8eb.maf.gz,54,54
fa5c54fa-00e6-45e8-b53b-65e61f4720bd.maf.gz,61,55
fbcb4dfc-b83d-4752-befc-f39e0cec02ba.maf.gz,168,152
fca0a4d1-d666-415e-9aed-315be5b0f5da.maf.gz,78,73
fcdfa3d7-efac-4f18-88cc-45a11267278c.maf.gz,56,54
fd467ad2-3e0e-4ba6-8f52-dccd210ef0f2.maf.gz,86,66
fd58f0a1-0534-485c-8e8b-4dd02b591e46.maf.gz,58,55
fe25ecca-4ea3-4aa8-a573-6eade92b5b45.maf.gz,43,43
fe362363-09b0-419f-847b-9d14f412e4d4.maf.gz,26,22
ff5c8b99-45a0-4ef4-b7a4-e35726bef117.maf.gz,83,77
ffa4c2fc-7937-4a47-a622-e88e90683055.maf.gz,72,67
